X,Y,id,
-17.0617134213289,32.7405286177085,,
-17.0600956183246,32.7402415881433,,
-17.0586952619607,32.7377496496448,,
-17.0575732372965,32.7368015822928,,
-17.0561424384029,32.7365102037947,,
-17.0544594014065,32.7391413081431,,
-17.0529894621177,32.7418550422147,,
-17.0496581795874,32.7444730997646,,
-17.050728017058,32.7453037459308,,
-17.0516630376115,32.7461387410298,,
-17.0531068833035,32.7464779577887,,
-17.0545376821971,32.7462953026108,,
-17.0585984982058,32.7495548277498,,
-17.0603228500638,32.7449993206343,,
-17.0587572342532,32.7446427081441,,
-17.0582147048855,32.7435326430451,,
